2023-03-31 17:51:46,734 - INFO  Start_Work : Kernel:进入订单模块
2023-03-31 17:51:46,734 - INFO  OrderInfo : -----进入OrderInfo OrderInfo部分-----
2023-03-31 17:51:46,734 - INFO  SetFile : 1.即将检验传入的文件是否可以打开:/home/ljy/LJY/code-dir/Home_care/Kernel/tmp/tmpfile.txt
2023-03-31 17:51:46,734 - INFO  SetFile : 1.传入文件可以打开
2023-03-31 17:51:46,734 - INFO  SetFile : 1.导入后文件路径为/home/ljy/LJY/code-dir/Home_care/Service/OrderInfo/In/tmpfile.txt
2023-03-31 17:51:46,734 - INFO  SetFile : 1.导入成功
2023-03-31 17:51:46,734 - INFO  UserInfoInit : 2.生成的UserInfo信息为:{'ID': '2104010209'}
2023-03-31 17:51:46,734 - INFO  DemandInfoInit : 2.生成的DemandInfo信息为:{'吃饭': '101', '洗澡': '102'}
2023-03-31 17:51:46,734 - INFO  KeyWordInit : 2.生成的KeyWord信息为:['吃饭']
2023-03-31 17:51:46,734 - INFO  ParameterInvaild : 3.即将进行参数匹配
2023-03-31 17:51:46,734 - INFO  ParameterInvaild : 3.参数匹配一切正常
2023-03-31 17:51:46,734 - INFO  OrderGen : 4.即将进行订单ID的生成
2023-03-31 17:51:46,734 - INFO  OrderGen : 4.获取的用户ID 为010209
2023-03-31 17:51:46,734 - INFO  OrderGen : 4.获取的需求ID 为101
2023-03-31 17:51:46,734 - INFO  OrderGen : 4.获取的时间 为230331175146
2023-03-31 17:51:46,734 - INFO  OrderGen : 4.生成的OrderID 为230331175146010209101
2023-03-31 17:51:46,734 - INFO  OrderSend : 5.准备发送信息{'DemandID': '101', 'UserID': '2104010209'}
2023-03-31 17:51:46,734 - INFO  __MsgBase : 网络接口被调用:要求发送信息为{'MsgUserID': '2104010209', 'MsgDemandID': '101'}
2023-03-31 17:51:46,879 - INFO  __MsgBase : 网络接口被调用:返回信息为header:{'Content-Type': 'application/json; charset=utf-8', 'Date': 'Fri, 31 Mar 2023 09:51:46 GMT', 'Content-Length': '49'},status_code:200,json:{'MsgType': '1002', 'MsgInfo': '吃饭请求测试'}
2023-03-31 17:51:46,879 - INFO  Run : 6.关闭导出文件文件
2023-03-31 17:51:46,879 - INFO  OutFile : 7.即将检验缓冲区是否有需求信息
2023-03-31 17:51:46,879 - INFO  OutFile : 7.成功在输出缓冲区找到需求信息
